volume,cacc_mpr,cacc_size,truck_ratio,before_meanspeed,before_frequncy,before_moran,before_change,before_len,in_meanspeed,in_frequncy,in_moran,in_change,in_len,out_meanspeed,out_frequncy,out_moran,out_change,out_len
3500,0.0,0,0.2,26.08386743854287,0.09885600123871977,70.74868720722884,92,0,22.455661640481438,3.9956945997258204,68.44676186294718,359,0,25.25050624626287,0.07054196049026645,70.01548031366023,50,0
3500,0.0,0,0.6,25.052443001989854,0.13070091045207358,69.85105710904452,153,0,16.507178875706686,17.101979789678808,61.95566609862748,592,215.13254499999994,22.657287909877493,0.03241900534650708,69.0952049117483,12,0
3500,0.0,0,0.4,25.787286661206267,0.09584095947941343,69.47085245326629,107,0,19.879537274034632,10.716728861787692,65.12381636299286,484,219.34855000000002,23.977769776313828,0.036913805554857425,69.92391386053387,21,0
3500,0.4,4,0.2,25.949978763132815,0.05063393343188573,69.20195445855103,38,0,22.994877112111052,3.0792987491479633,68.56255243154213,238,0,25.46087530350197,0.08300248649977494,70.26163409789753,34,0
3500,0.2,6,0.2,25.947276288538276,0.07496140850147316,68.95636268363191,66,0,22.259717319724324,4.26024934860343,67.87708331486576,309,0,25.10339198746572,0.04546522615563025,70.31681844640103,35,0
3500,0.2,3,0.4,25.758167596504453,0.05556751139357367,70.33488479602524,62,0,21.264277243424136,7.125833340683523,66.39963720162756,338,221.81087000000002,24.109271748997696,0.07173535532033763,69.04994895873453,39,0
3500,0.2,5,0.2,25.921665761394767,0.10082869783139628,69.93678434101706,74,0,22.583860192785462,5.366460635731321,68.09960129099262,285,0,25.441681039469124,0.041350198823895366,69.91708670561006,40,0
3500,0.4,5,0.4,25.706520175119273,0.053467432928117516,69.14381882553988,46,0,21.015737589213824,7.743934734857593,67.2352574015103,367,221.46996999999996,24.167330321218433,0.02751361590306497,70.24352307101218,35,0
3500,0.4,6,0.2,25.929673037915613,0.04811948844552895,69.98066247908093,39,0,23.600565114067226,2.3456621996117204,68.41661605664548,183,0,25.70505941897568,0.028567980158908268,70.0144004088817,51,0
3500,0.2,3,0.2,25.921622226552206,0.08925887111408104,69.7021032010273,64,0,23.1161891853452,2.7765335648972735,69.06087469594695,240,0,25.39533028228363,0.08793132086910607,69.68158794308947,53,0
3500,0.2,5,0.4,25.98034360783189,0.05988981582886406,69.48450682949655,65,0,20.964447418267994,9.076653483269542,66.455238159589,370,220.58387999999997,24.234690512400825,0.03612651208264806,69.3885392949812,44,0
3500,0.4,4,0.4,25.575157739854593,0.09199354331381548,69.82497518847465,58,0,20.347107526022523,9.27082214415078,65.78113679213114,401,220.86002,23.916313042732632,0.03259756829099307,69.84228104402774,31,0
3500,0.2,6,0.4,25.60830812201141,0.1347228518622248,69.53762581546576,110,0,19.798127364361026,11.675487338946025,65.14192618822521,445,219.12054999999998,24.00203778122019,0.04070318691462069,69.6892309017908,31,0
3500,0.4,5,0.2,25.788571903092862,0.04417655549901135,70.63136103418056,48,0,22.067705471032482,6.235749514952214,67.47697159574331,271,223.0951,24.90429487297052,0.0687629769006733,70.01437260703686,50,0
3500,0.2,4,0.6,25.4450880676166,0.09498674875000349,69.73836920787151,107,0,18.860789045203187,11.58552613952021,64.19812227953892,469,218.115635,23.13008063193394,0.0769442530903805,69.5762741884601,26,0
3500,0.2,4,0.2,26.046463675726287,0.06144021226630672,69.48910961494455,69,0,23.01828228546727,4.637898895232283,68.2808114193959,234,0,25.538826243710684,0.07089825810215208,69.62960303734073,43,0
3500,0.4,6,0.4,25.5822292492063,0.06792941265585653,69.66577832525125,77,0,21.037686061468605,6.263117864838197,66.9819199968475,354,221.90534999999997,24.220683923934896,0.03768876237911586,69.90463151560792,26,0
3500,0.4,3,0.2,25.709325402128425,0.03651351580346131,70.25548437781093,59,0,22.942817469387347,2.9437182619491717,68.89120991195824,227,0,25.131148591327438,0.030678304639812002,69.67535157830378,40,0
3500,0.2,4,0.4,25.851363887740863,0.06666372350137986,69.48527143608638,70,0,21.12454504254731,8.2600157853638,66.56553845882021,329,221.2153,24.256901995070937,0.054929417379799436,69.4423775520598,41,0
3500,0.4,3,0.6,24.96794246237662,0.10664744661897206,69.92240779357176,90,0,18.13874593847041,14.813254315924452,63.57002163796087,504,217.36762499999998,23.172785446250423,0.059875963803549176,69.39640235418568,28,0
3500,0.4,3,0.4,25.55844397434812,0.07878119937084838,70.54892271881772,49,0,20.44945984457776,9.810924189979822,65.04124041738946,412,220.288135,24.059427771189146,0.026171411611966556,69.75360982252926,24,0
3500,0.4,4,0.6,25.007713700587427,0.118547829242473,70.85373749982537,98,0,17.72945917922844,14.718889981174799,63.41010656269291,557,216.75663500000002,23.142398055785886,0.0754013828820083,69.23391393798194,25,0
3500,0.2,5,0.6,25.3801812977716,0.12183400480154584,69.18665311904479,99,0,18.889516012789258,12.961514811049513,63.812185146865815,461,217.72154999999998,23.441212970547102,0.029304363660982893,70.10020531745661,28,0
3500,0.2,3,0.6,24.990594434770177,0.13528043312940635,70.27384831998195,125,0,16.952383578042838,16.514614791678373,61.7361451484143,589,215.43453999999988,22.84217536748158,0.026526080714036178,69.8332039776062,32,0
3500,0.2,6,0.6,25.11358112839349,0.13423374213000888,69.82821338679786,130,0,17.94584204532597,15.977756107407581,63.06554862151129,495,216.5378,23.036036768519143,0.02975910630759527,69.69826891735244,21,0
4500,0.0,0,0.4,21.39532274877694,0.28599923287969686,69.17830775363703,391,0,14.50657824653096,27.294028506443258,60.55804268746414,435,214.33008999999998,23.063478640095965,0.03742727821088955,69.66953406022488,10,0
